0: CPU Microbenchmarks:
0: Inter-CPU Microbenchmarks will be run with the following:
0: # Processes per NUMA: 16
0: # Processes per socket: 16
0: # Processes per node: 64
0: # of nodes: 2
0: If these are incorrect, edit the defines at the top of benchmarks/microbenchmarks.cpp
0: intra-socket tests will not be run because there is only one NUMA per socket.  The timings will be gathered in inter-NUMA tests.
0: 
0: 
0: Running standard ping-pongs
0: 
0: On-NUMA Ping-Pong:
0: Size 1: 4.640758e-07
0: Size 2: 4.632705e-07
0: Size 4: 4.642244e-07
0: Size 8: 4.621172e-07
0: Size 16: 4.546545e-07
0: Size 32: 4.798078e-07
0: Size 64: 4.998275e-07
0: Size 128: 5.159923e-07
0: Size 256: 1.202503e-06
0: Size 512: 1.256364e-06
0: Size 1024: 1.008062e-06
0: Size 2048: 1.042639e-06
0: Size 4096: 1.108880e-06
0: Size 8192: 1.355801e-06
0: Size 16384: 1.793728e-06
0: Size 32768: 2.408551e-06
0: Size 65536: 3.602262e-06
0: Size 131072: 5.991724e-06
0: Size 262144: 1.076946e-05
0: Size 524288: 2.329104e-05
0: Size 1048576: 5.646638e-05
0: Size 2097152: 1.108821e-04
0: Size 4194304: 2.192885e-04
0: Size 8388608: 5.645334e-04
0: Size 16777216: 1.794719e-03
0: Size 33554432: 2.732970e-03
0: Size 67108864: 4.518212e-03
0: Size 134217728: 8.925345e-03
0: Size 268435456: 1.759691e-02
0: Size 536870912: 3.665187e-02
0: 
0: Not measuring intra-socket because same as intra-NUMA
0: On-Node, Off-Socket Ping-Pong:
0: Size 1: 2.923082e-06
0: Size 2: 2.913938e-06
0: Size 4: 2.917199e-06
0: Size 8: 2.917571e-06
0: Size 16: 2.652221e-06
0: Size 32: 3.232215e-06
0: Size 64: 3.412491e-06
0: Size 128: 3.565349e-06
0: Size 256: 4.670113e-06
0: Size 512: 5.462459e-06
0: Size 1024: 4.752796e-06
0: Size 2048: 4.860399e-06
0: Size 4096: 4.802658e-06
0: Size 8192: 4.793231e-06
