0: CPU Microbenchmarks:
0: Inter-CPU Microbenchmarks will be run with the following:
0: # Processes per NUMA: 18
0: # Processes per socket: 18
0: # Processes per node: 72
0: # of nodes: 2
0: If these are incorrect, edit the defines at the top of benchmarks/microbenchmarks.cpp
0: intra-socket tests will not be run because there is only one NUMA per socket.  The timings will be gathered in inter-NUMA tests.
0: 
0: 
0: Running standard ping-pongs
0: 
0: On-NUMA Ping-Pong:
0: Size 1: 1.541300e-06
0: Size 2: 1.540011e-06
0: Size 4: 1.554893e-06
0: Size 8: 1.537540e-06
0: Size 16: 1.494391e-06
0: Size 32: 1.598594e-06
0: Size 64: 1.618423e-06
0: Size 128: 1.573667e-06
0: Size 256: 2.520017e-06
0: Size 512: 2.704615e-06
0: Size 1024: 2.650257e-06
0: Size 2048: 2.696419e-06
0: Size 4096: 2.730105e-06
0: Size 8192: 2.809077e-06
0: Size 16384: 3.367033e-06
0: Size 32768: 3.385857e-06
0: Size 65536: 4.561128e-06
0: Size 131072: 6.831899e-06
0: Size 262144: 1.144894e-05
0: Size 524288: 2.467303e-05
0: Size 1048576: 5.835294e-05
0: Size 2097152: 1.129104e-04
0: Size 4194304: 2.209298e-04
0: Size 8388608: 4.405982e-04
0: Size 16777216: 7.766182e-04
0: Size 33554432: 2.529689e-03
0: Size 67108864: 4.471159e-03
0: Size 134217728: 8.684237e-03
0: Size 268435456: 1.690768e-02
0: Size 536870912: 3.271189e-02
0: 
0: Not measuring intra-socket because same as intra-NUMA
0: On-Node, Off-Socket Ping-Pong:
0: Size 1: 3.956413e-06
0: Size 2: 3.961049e-06
0: Size 4: 3.943515e-06
0: Size 8: 3.946784e-06
0: Size 16: 3.973550e-06
0: Size 32: 4.120499e-06
0: Size 64: 4.275828e-06
0: Size 128: 4.216994e-06
0: Size 256: 5.788991e-06
0: Size 512: 6.534912e-06
0: Size 1024: 6.530460e-06
0: Size 2048: 6.527401e-06
0: Size 4096: 6.515730e-06
0: Size 8192: 6.307262e-06
