0: CPU Microbenchmarks:
0: Inter-CPU Microbenchmarks will be run with the following:
0: # Processes per NUMA: 18
0: # Processes per socket: 18
0: # Processes per node: 72
0: # of nodes: 2
0: If these are incorrect, edit the defines at the top of benchmarks/microbenchmarks.cpp
0: intra-socket tests will not be run because there is only one NUMA per socket.  The timings will be gathered in inter-NUMA tests.
0: 
0: 
0: Running standard ping-pongs
0: 
0: On-NUMA Ping-Pong:
0: Size 1: 2.067858e-06
0: Size 2: 2.071422e-06
0: Size 4: 2.060855e-06
0: Size 8: 2.052578e-06
0: Size 16: 2.046815e-06
0: Size 32: 2.056582e-06
0: Size 64: 2.170562e-06
0: Size 128: 2.074001e-06
0: Size 256: 3.049022e-06
0: Size 512: 3.173536e-06
0: Size 1024: 2.932837e-06
0: Size 2048: 2.938182e-06
0: Size 4096: 2.934737e-06
0: Size 8192: 2.823189e-06
0: Size 16384: 3.437471e-06
0: Size 32768: 3.612641e-06
0: Size 65536: 4.775436e-06
0: Size 131072: 7.059604e-06
0: Size 262144: 1.165323e-05
0: Size 524288: 2.502458e-05
0: Size 1048576: 5.870887e-05
0: Size 2097152: 1.132634e-04
0: Size 4194304: 2.211435e-04
0: Size 8388608: 4.405636e-04
0: Size 16777216: 7.742397e-04
0: Size 33554432: 2.238112e-03
0: Size 67108864: 4.237846e-03
0: Size 134217728: 8.439649e-03
0: Size 268435456: 1.673814e-02
0: Size 536870912: 3.311310e-02
0: 
0: Not measuring intra-socket because same as intra-NUMA
0: On-Node, Off-Socket Ping-Pong:
0: Size 1: 4.199943e-06
0: Size 2: 4.164339e-06
0: Size 4: 4.144605e-06
0: Size 8: 4.176141e-06
0: Size 16: 4.106446e-06
0: Size 32: 4.319936e-06
0: Size 64: 4.482147e-06
0: Size 128: 4.402360e-06
0: Size 256: 5.732608e-06
0: Size 512: 7.018061e-06
0: Size 1024: 6.502656e-06
0: Size 2048: 6.427610e-06
0: Size 4096: 6.219781e-06
0: Size 8192: 5.852803e-06
