0: CPU Microbenchmarks:
0: Inter-CPU Microbenchmarks will be run with the following:
0: # Processes per NUMA: 18
0: # Processes per socket: 18
0: # Processes per node: 72
0: # of nodes: 2
0: If these are incorrect, edit the defines at the top of benchmarks/microbenchmarks.cpp
0: intra-socket tests will not be run because there is only one NUMA per socket.  The timings will be gathered in inter-NUMA tests.
0: 
0: 
0: Running standard ping-pongs
0: 
0: On-NUMA Ping-Pong:
0: Size 1: 1.349835e-06
0: Size 2: 1.302431e-06
0: Size 4: 1.330762e-06
0: Size 8: 1.336546e-06
0: Size 16: 1.188468e-06
0: Size 32: 1.451769e-06
0: Size 64: 1.464748e-06
0: Size 128: 1.479346e-06
0: Size 256: 2.283135e-06
0: Size 512: 2.517261e-06
0: Size 1024: 2.671796e-06
0: Size 2048: 2.758182e-06
0: Size 4096: 2.789688e-06
0: Size 8192: 2.921374e-06
0: Size 16384: 3.475255e-06
0: Size 32768: 3.753774e-06
0: Size 65536: 4.890360e-06
0: Size 131072: 7.144853e-06
0: Size 262144: 1.164000e-05
0: Size 524288: 2.433740e-05
0: Size 1048576: 5.807431e-05
0: Size 2097152: 1.124324e-04
0: Size 4194304: 2.208683e-04
0: Size 8388608: 4.402625e-04
0: Size 16777216: 7.759629e-04
0: Size 33554432: 2.129638e-03
0: Size 67108864: 4.307970e-03
0: Size 134217728: 8.486552e-03
0: Size 268435456: 1.661767e-02
0: Size 536870912: 3.207718e-02
0: 
0: Not measuring intra-socket because same as intra-NUMA
0: On-Node, Off-Socket Ping-Pong:
0: Size 1: 4.244262e-06
0: Size 2: 4.239910e-06
0: Size 4: 4.235900e-06
0: Size 8: 4.289373e-06
0: Size 16: 4.159558e-06
0: Size 32: 4.327093e-06
0: Size 64: 4.421201e-06
0: Size 128: 4.446849e-06
0: Size 256: 5.839665e-06
0: Size 512: 6.926723e-06
0: Size 1024: 6.834958e-06
0: Size 2048: 6.853928e-06
0: Size 4096: 6.687647e-06
0: Size 8192: 5.824889e-06
